dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
ngsim_pooled,severity,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.10000000000000009,-0.10000000000000009,-0.050000000000000044,400
ngsim_pooled,severity,rss_longitudinal,RSS longitudinal,saturation,0.9209837142151432,0.9176245999406674,0.9237316732408614,400
ngsim_pooled,severity,rss_longitudinal,RSS longitudinal,delta_abs_q50_s,1.2,1.2,1.2,400
ngsim_pooled,severity,rss_longitudinal,RSS longitudinal,delta_abs_q90_s,2.15,2.15,2.25,400
ngsim_pooled,severity,rss_longitudinal,RSS longitudinal,delta_abs_q95_s,,,,400
ngsim_pooled,severity,rss_longitudinal,RSS longitudinal,delta_rel_q90_s,1.75,1.75,1.75,400
ngsim_pooled,severity,rss_longitudinal,RSS longitudinal,sat_gap_vs_star,0.0514382961162394,0.05011854707793387,0.0529006575995237,400
ngsim_pooled,severity,rss_longitudinal,RSS longitudinal,delta90_penalty_vs_star_s,0.2999999999999998,0.2999999999999998,0.3500000000000001,400
ngsim_pooled,severity,rss_longitudinal,RSS longitudinal,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,0.0,400
highd_external,frequency,star,Upper bound,saturation,0.9970844266733314,0.9962503644466657,0.9979184888999956,400
highd_external,frequency,star,Upper bound,delta_abs_q50_s,1.15,1.1,1.15,400
highd_external,frequency,star,Upper bound,delta_abs_q90_s,1.85,1.8,1.85,400
highd_external,frequency,star,Upper bound,delta_abs_q95_s,2.1,2.1,2.15,400
highd_external,frequency,star,Upper bound,delta_rel_q90_s,1.8,1.8,1.85,400
highd_external,frequency,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
highd_external,frequency,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
highd_external,frequency,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
highd_external,frequency,pi,Weak TTC,saturation,0.6736223916031492,0.6649839643467033,0.6809956682910573,400
highd_external,frequency,pi,Weak TTC,delta_abs_q50_s,1.4,1.4,1.45,400
highd_external,frequency,pi,Weak TTC,delta_abs_q90_s,,,,400
highd_external,frequency,pi,Weak TTC,delta_abs_q95_s,,,,400
highd_external,frequency,pi,Weak TTC,delta_rel_q90_s,1.75,1.75,1.8,400
highd_external,frequency,pi,Weak TTC,sat_gap_vs_star,0.32346203507018223,0.316172060477321,0.3322514473739015,400
highd_external,frequency,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
